2025-03-06 01:33:45,373-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-03-01T16:00:00.000Z', 'end': '2025-03-08T16:00:00.000Z'}}
2025-03-06 01:40:07,103-DEBUG-【views-user_settings: line 140】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-03-01T16:00:00.000Z', 'end': '2025-03-08T16:00:00.000Z'}}
2025-03-06 01:40:16,785-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'dayGridMonth', 'start': '2025-02-22T16:00:00.000Z', 'end': '2025-04-05T16:00:00.000Z'}}
2025-03-06 01:40:17,934-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-03-01T16:00:00.000Z', 'end': '2025-03-08T16:00:00.000Z'}}
2025-03-06 01:40:18,031-DEBUG-【views-user_settings: line 140】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-03-01T16:00:00.000Z', 'end': '2025-03-08T16:00:00.000Z'}}
2025-03-06 01:40:21,402-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'dayGridMonth', 'start': '2025-02-22T16:00:00.000Z', 'end': '2025-04-05T16:00:00.000Z'}}
2025-03-06 01:40:23,818-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-03-01T16:00:00.000Z', 'end': '2025-03-08T16:00:00.000Z'}}
2025-03-06 01:40:23,927-DEBUG-【views-user_settings: line 140】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-03-01T16:00:00.000Z', 'end': '2025-03-08T16:00:00.000Z'}}
2025-03-06 01:40:27,942-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-02-22T16:00:00.000Z', 'end': '2025-03-01T16:00:00.000Z'}}
2025-03-06 01:40:28,075-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-02-15T16:00:00.000Z', 'end': '2025-02-22T16:00:00.000Z'}}
2025-03-06 01:40:28,238-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-02-08T16:00:00.000Z', 'end': '2025-02-15T16:00:00.000Z'}}
2025-03-06 01:40:28,456-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-02-01T16:00:00.000Z', 'end': '2025-02-08T16:00:00.000Z'}}
2025-03-06 01:40:31,490-DEBUG-【views-change_view: line 125】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-03-01T16:00:00.000Z', 'end': '2025-03-08T16:00:00.000Z'}}
2025-03-06 01:40:31,596-DEBUG-【views-user_settings: line 140】{'now_view': {'viewType': 'timeGridWeek', 'start': '2025-03-01T16:00:00.000Z', 'end': '2025-03-08T16:00:00.000Z'}}
